,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
0,Summary,133.2,6.5,126.7,139.22,112.12,150146425.0,N.A.
2,17:00 - 18:00,126.43,-0.27,126.7,126.77,126.37,193.0,N.A.
4,03:00 - 04:00,127.24,0.81,126.74,127.24,126.71,2446.0,N.A.
5,04:00 - 05:00,127.39,0.15,127.24,127.85,127.23,2426.0,N.A.
6,05:00 - 06:00,127.46,0.07,127.39,127.48,127.38,760.0,N.A.
7,06:00 - 07:00,127.65,0.19,127.61,127.65,127.61,154.0,N.A.
8,12:00 - 13:00,126.64,-1.01,126.93,126.93,126.33,353.0,N.A.
9,13:00 - 14:00,126.61,-0.03,126.64,126.88,126.52,1698.0,N.A.
10,14:00 - 15:00,126.78,0.17,126.61,126.94,126.41,1557.0,N.A.
11,15:00 - 16:00,126.93,0.15,126.78,127.05,126.63,1332.0,N.A.
12,16:00 - 17:00,127.41,0.48,126.93,127.42,126.88,1328.0,N.A.
13,17:00 - 18:00,127.31,-0.1,127.41,127.57,127.28,8350.0,N.A.
14,18:00 - 19:00,126.98,-0.33,127.31,127.31,126.83,9642.0,N.A.
15,19:00 - 20:00,127.22,0.24,126.98,127.28,126.94,11489.0,N.A.
16,20:00 - 21:00,126.76,-0.46,127.22,127.22,126.64,13468.0,N.A.
17,21:00 - 22:00,126.48,-0.28,126.76,126.86,126.41,12118.0,N.A.
18,22:00 - 23:00,126.42,-0.06,126.48,126.48,126.04,15950.0,N.A.
19,23:00 - 00:00,126.33,-0.09,126.42,126.49,126.24,12372.0,N.A.
21,00:00 - 01:00,126.4,0.07,126.33,126.46,126.22,11695.0,N.A.
22,01:00 - 02:00,126.2,-0.2,126.4,126.49,126.2,9733.0,N.A.
23,02:00 - 03:00,126.83,0.63,126.2,126.83,126.19,7983.0,N.A.
24,03:00 - 04:00,127.34,0.51,126.83,127.37,126.75,7986.0,N.A.
25,04:00 - 05:00,127.21,-0.13,127.34,127.34,127.11,7007.0,N.A.
26,05:00 - 06:00,126.98,-0.23,127.21,127.33,126.95,7820.0,N.A.
27,06:00 - 07:00,127.14,0.16,126.98,127.2,126.96,7471.0,N.A.
28,07:00 - 08:00,126.71,-0.43,127.14,127.15,126.71,6373.0,N.A.
29,08:00 - 09:00,126.64,-0.07,126.72,126.91,126.53,6097.0,N.A.
