,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
0,Summary,1.4746,-0.031,1.5056,1.5242,1.4727,34285045.0,N.A.
2,17:00 - 18:00,1.5064,0.0008,1.5056,1.5065,1.5056,36020.0,N.A.
3,18:00 - 19:00,1.5055,-0.0009,1.5064,1.5064,1.5055,52117.0,N.A.
4,19:00 - 20:00,1.5068,0.0013,1.5055,1.5071,1.5052,46932.0,N.A.
5,20:00 - 21:00,1.508,0.0012,1.5068,1.5088,1.506,60837.0,N.A.
6,21:00 - 22:00,1.5093,0.0013,1.508,1.5099,1.508,63511.0,N.A.
7,22:00 - 23:00,1.5082,-0.0011,1.5093,1.5094,1.5082,47899.0,N.A.
8,23:00 - 00:00,1.5082,0.0,1.5082,1.5092,1.5078,45695.0,N.A.
10,00:00 - 01:00,1.51,0.0018,1.5082,1.5103,1.5082,52525.0,N.A.
11,01:00 - 02:00,1.5093,-0.0007,1.51,1.5103,1.5088,58753.0,N.A.
12,02:00 - 03:00,1.51,0.0007,1.5093,1.511,1.5091,66027.0,N.A.
13,03:00 - 04:00,1.5121,0.0021,1.51,1.5124,1.5092,95821.0,N.A.
14,04:00 - 05:00,1.5085,-0.0036,1.5121,1.5126,1.5079,96066.0,N.A.
15,05:00 - 06:00,1.5093,0.0008,1.5085,1.5095,1.5083,67921.0,N.A.
16,06:00 - 07:00,1.5078,-0.0015,1.5093,1.5095,1.5074,58901.0,N.A.
17,07:00 - 08:00,1.5067,-0.0011,1.5078,1.5079,1.5067,60769.0,N.A.
18,08:00 - 09:00,1.5066,-0.0001,1.5067,1.5076,1.506,89151.0,N.A.
19,09:00 - 10:00,1.5076,0.001,1.5066,1.5082,1.5065,86084.0,N.A.
20,10:00 - 11:00,1.5054,-0.0022,1.5076,1.5095,1.5051,92702.0,N.A.
21,11:00 - 12:00,1.5073,0.0019,1.5054,1.5076,1.5052,78378.0,N.A.
22,12:00 - 13:00,1.5074,0.0001,1.5073,1.5079,1.5064,58905.0,N.A.
23,13:00 - 14:00,1.5085,0.0011,1.5074,1.5085,1.5071,50507.0,N.A.
24,14:00 - 15:00,1.5081,-0.0004,1.5085,1.5087,1.5078,48299.0,N.A.
25,15:00 - 16:00,1.5081,0.0,1.5081,1.5087,1.5079,40378.0,N.A.
26,16:00 - 17:00,1.5082,0.0001,1.5081,1.5083,1.5077,40486.0,N.A.
