,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
0,Summary,81.12,-11.91,92.92,94.99,80.22,119131389.0,N.A.
2,15:00 - 16:00,92.95,-0.08,92.92,92.99,92.9,286.0,N.A.
3,16:00 - 17:00,92.98,0.03,92.95,93.03,92.91,1359.0,N.A.
4,17:00 - 18:00,92.93,-0.05,92.98,93.09,92.89,6689.0,N.A.
5,18:00 - 19:00,92.74,-0.19,92.93,93.01,92.7,14141.0,N.A.
6,19:00 - 20:00,92.9,0.16,92.74,92.96,92.74,18545.0,N.A.
7,20:00 - 21:00,92.98,0.08,92.9,93.07,92.89,15290.0,N.A.
8,21:00 - 22:00,92.88,-0.1,92.98,92.98,92.84,12741.0,N.A.
9,22:00 - 23:00,92.76,-0.12,92.88,92.92,92.72,11080.0,N.A.
10,23:00 - 00:00,92.74,-0.02,92.76,92.79,92.72,9084.0,N.A.
12,00:00 - 01:00,92.87,0.13,92.74,92.87,92.73,11032.0,N.A.
13,01:00 - 02:00,93.04,0.17,92.87,93.06,92.75,20048.0,N.A.
14,02:00 - 03:00,93.04,0.0,93.04,93.22,93.03,22636.0,N.A.
15,03:00 - 04:00,92.86,-0.18,93.04,93.06,92.83,25185.0,N.A.
16,04:00 - 05:00,92.8,-0.06,92.86,92.86,92.72,24308.0,N.A.
17,05:00 - 06:00,92.94,0.14,92.8,92.94,92.79,18315.0,N.A.
18,06:00 - 07:00,92.8,-0.14,92.94,92.94,92.75,18738.0,N.A.
19,07:00 - 08:00,92.86,0.06,92.8,92.93,92.78,17791.0,N.A.
20,08:00 - 09:00,92.64,-0.22,92.86,92.9,92.61,21475.0,N.A.
21,09:00 - 10:00,92.62,-0.02,92.64,92.73,92.48,23663.0,N.A.
22,10:00 - 11:00,92.35,-0.27,92.62,92.71,92.19,28319.0,N.A.
23,11:00 - 12:00,92.56,0.21,92.35,92.58,92.31,20566.0,N.A.
24,12:00 - 13:00,92.69,0.13,92.56,92.69,92.49,15960.0,N.A.
25,13:00 - 14:00,92.61,-0.08,92.69,92.69,92.56,12998.0,N.A.
26,14:00 - 15:00,92.59,-0.02,92.61,92.62,92.49,12185.0,N.A.
27,15:00 - 16:00,92.59,0.0,92.59,92.63,92.51,12112.0,N.A.
28,16:00 - 17:00,92.5,-0.09,92.59,92.59,92.5,10320.0,N.A.
29,17:00 - 18:00,92.42,-0.08,92.5,92.55,92.38,9568.0,N.A.
30,18:00 - 19:00,92.48,0.06,92.42,92.54,92.41,11623.0,N.A.
31,19:00 - 20:00,92.37,-0.11,92.48,92.52,92.33,20169.0,N.A.
32,20:00 - 21:00,92.27,-0.1,92.37,92.38,92.12,19728.0,N.A.
33,21:00 - 22:00,92.24,-0.03,92.27,92.31,92.19,15697.0,N.A.
34,22:00 - 23:00,92.16,-0.08,92.24,92.26,92.13,13585.0,N.A.
35,23:00 - 00:00,91.7,-0.46,92.16,92.18,91.64,26333.0,N.A.
37,00:00 - 01:00,91.69,-0.01,91.7,91.87,91.65,21682.0,N.A.
38,01:00 - 02:00,91.71,0.02,91.69,91.79,91.69,17744.0,N.A.
39,02:00 - 03:00,91.89,0.18,91.71,91.93,91.69,22219.0,N.A.
40,03:00 - 04:00,91.92,0.03,91.89,92.12,91.85,24733.0,N.A.
41,04:00 - 05:00,91.88,-0.04,91.92,92.0,91.86,23206.0,N.A.
42,05:00 - 06:00,91.94,0.06,91.88,91.97,91.85,18484.0,N.A.
43,06:00 - 07:00,92.11,0.17,91.94,92.16,91.94,18780.0,N.A.
44,07:00 - 08:00,91.94,-0.17,92.11,92.14,91.82,18325.0,N.A.
45,08:00 - 09:00,91.76,-0.18,91.94,91.94,91.69,25894.0,N.A.
46,09:00 - 10:00,91.37,-0.39,91.76,91.84,91.37,28576.0,N.A.
