Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,133.2,6.5,126.7,139.22,112.12,150146425,N.A.
31DEC2008_00:00:00.000,,,,,,,
17:00 - 18:00,126.43,-0.27,126.7,126.77,126.37,193,N.A.
01JAN2009_00:00:00.000,,,,,,,
03:00 - 04:00,127.24,0.81,126.74,127.24,126.71,2446,N.A.
04:00 - 05:00,127.39,0.15,127.24,127.85,127.23,2426,N.A.
05:00 - 06:00,127.46,0.07,127.39,127.48,127.38,760,N.A.
06:00 - 07:00,127.65,0.19,127.61,127.65,127.61,154,N.A.
12:00 - 13:00,126.64,-1.01,126.93,126.93,126.33,353,N.A.
13:00 - 14:00,126.61,-0.03,126.64,126.88,126.52,1698,N.A.
14:00 - 15:00,126.78,0.17,126.61,126.94,126.41,1557,N.A.
15:00 - 16:00,126.93,0.15,126.78,127.05,126.63,1332,N.A.
16:00 - 17:00,127.41,0.48,126.93,127.42,126.88,1328,N.A.
17:00 - 18:00,127.31,-0.1,127.41,127.57,127.28,8350,N.A.
18:00 - 19:00,126.98,-0.33,127.31,127.31,126.83,9642,N.A.
19:00 - 20:00,127.22,0.24,126.98,127.28,126.94,11489,N.A.
20:00 - 21:00,126.76,-0.46,127.22,127.22,126.64,13468,N.A.
21:00 - 22:00,126.48,-0.28,126.76,126.86,126.41,12118,N.A.
22:00 - 23:00,126.42,-0.06,126.48,126.48,126.04,15950,N.A.
23:00 - 00:00,126.33,-0.09,126.42,126.49,126.24,12372,N.A.
02JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,126.4,0.07,126.33,126.46,126.22,11695,N.A.
01:00 - 02:00,126.2,-0.2,126.4,126.49,126.2,9733,N.A.
02:00 - 03:00,126.83,0.63,126.2,126.83,126.19,7983,N.A.
03:00 - 04:00,127.34,0.51,126.83,127.37,126.75,7986,N.A.
04:00 - 05:00,127.21,-0.13,127.34,127.34,127.11,7007,N.A.
05:00 - 06:00,126.98,-0.23,127.21,127.33,126.95,7820,N.A.
06:00 - 07:00,127.14,0.16,126.98,127.2,126.96,7471,N.A.
07:00 - 08:00,126.71,-0.43,127.14,127.15,126.71,6373,N.A.
08:00 - 09:00,126.64,-0.07,126.72,126.91,126.53,6097,N.A.
09:00 - 10:00,126.87,0.23,126.64,126.99,126.61,6702,N.A.
10:00 - 11:00,126.77,-0.1,126.87,127.13,126.64,7668,N.A.
11:00 - 12:00,127.09,0.32,126.76,127.22,126.67,7991,N.A.
12:00 - 13:00,126.9,-0.19,127.09,127.33,126.85,7878,N.A.
13:00 - 14:00,127.34,0.44,126.9,127.46,126.69,8152,N.A.
14:00 - 15:00,127.74,0.4,127.34,127.93,127.28,7821,N.A.
15:00 - 16:00,127.83,0.09,127.74,127.88,127.57,7737,N.A.
16:00 - 17:00,127.76,-0.07,127.83,128.03,127.63,10455,N.A.
04JAN2009_00:00:00.000,,,,,,,
14:00 - 15:00,127.84,0.08,127.77,127.97,127.74,392,N.A.
15:00 - 16:00,128.02,0.18,127.84,128.11,127.84,1067,N.A.
16:00 - 17:00,127.86,-0.16,128.01,128.17,127.71,4113,N.A.
17:00 - 18:00,127.94,0.08,127.86,128.05,127.64,7385,N.A.
18:00 - 19:00,128.53,0.59,127.94,128.55,127.94,9567,N.A.
19:00 - 20:00,128.42,-0.11,128.53,128.54,128.13,11401,N.A.
20:00 - 21:00,128.19,-0.23,128.42,128.44,128.1,10625,N.A.
21:00 - 22:00,127.47,-0.72,128.19,128.22,127.41,10842,N.A.
22:00 - 23:00,127.68,0.21,127.47,127.73,127.37,10105,N.A.
23:00 - 00:00,127.77,0.09,127.68,127.92,127.57,10911,N.A.
05JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,127.83,0.06,127.77,127.85,127.64,10993,N.A.
01:00 - 02:00,128.08,0.25,127.83,128.13,127.75,10069,N.A.
02:00 - 03:00,128.17,0.09,128.08,128.2,127.73,6783,N.A.
03:00 - 04:00,127.12,-1.05,128.18,128.2,126.59,5658,N.A.
04:00 - 05:00,127.17,0.05,127.12,127.7,127.07,6771,N.A.
05:00 - 06:00,127.4,0.23,127.17,127.5,127.14,6920,N.A.
06:00 - 07:00,127.32,-0.08,127.4,127.57,127.13,7347,N.A.
07:00 - 08:00,126.85,-0.47,127.31,127.37,126.82,6627,N.A.
08:00 - 09:00,126.44,-0.41,126.85,126.93,126.4,6723,N.A.
09:00 - 10:00,126.65,0.21,126.44,126.88,126.42,6388,N.A.
10:00 - 11:00,126.89,0.24,126.65,126.97,126.46,8023,N.A.
11:00 - 12:00,126.55,-0.34,126.89,126.96,126.5,7657,N.A.
12:00 - 13:00,126.68,0.13,126.55,126.96,126.52,8849,N.A.
13:00 - 14:00,126.88,0.2,126.68,126.9,126.64,9451,N.A.
14:00 - 15:00,126.73,-0.15,126.88,127.11,126.72,9499,N.A.
15:00 - 16:00,126.65,-0.08,126.74,126.81,126.53,9890,N.A.
16:00 - 17:00,127.31,0.66,126.65,127.38,126.65,8165,N.A.
17:00 - 18:00,127.03,-0.28,127.35,127.39,126.87,8889,N.A.
18:00 - 19:00,127.15,0.12,127.04,127.3,126.96,9406,N.A.
19:00 - 20:00,126.61,-0.54,127.14,127.14,126.47,11161,N.A.
20:00 - 21:00,126.46,-0.15,126.62,126.65,126.4,11621,N.A.
21:00 - 22:00,126.65,0.19,126.46,126.83,126.44,12023,N.A.
22:00 - 23:00,126.65,0,126.65,126.71,126.54,11552,N.A.
23:00 - 00:00,126.17,-0.48,126.65,126.76,125.78,11206,N.A.
06JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,125.86,-0.31,126.17,126.18,125.72,11286,N.A.
01:00 - 02:00,126.03,0.17,125.86,126.16,125.76,9513,N.A.
02:00 - 03:00,125.98,-0.05,126.03,126.26,125.63,6296,N.A.
03:00 - 04:00,125.65,-0.33,125.98,126.12,125.61,6129,N.A.
04:00 - 05:00,125.94,0.29,125.65,126.23,125.63,6973,N.A.
05:00 - 06:00,125.76,-0.18,125.94,126,125.54,6393,N.A.
06:00 - 07:00,125.52,-0.24,125.76,125.92,125.45,6890,N.A.
07:00 - 08:00,125.7,0.18,125.52,125.8,125.19,6303,N.A.
08:00 - 09:00,126.24,0.54,125.7,126.42,125.67,6329,N.A.
09:00 - 10:00,126.86,0.62,126.25,126.88,126.22,6850,N.A.
10:00 - 11:00,126.39,-0.47,126.86,126.95,126.21,7857,N.A.
11:00 - 12:00,126.67,0.28,126.4,126.75,126.23,8520,N.A.
12:00 - 13:00,126.93,0.26,126.67,126.94,126.6,9920,N.A.
13:00 - 14:00,126.41,-0.52,126.93,126.99,126.22,8950,N.A.
14:00 - 15:00,127.1,0.69,126.41,127.13,126.33,8580,N.A.
15:00 - 16:00,126.91,-0.19,127.1,127.14,126.65,9874,N.A.
16:00 - 17:00,126.75,-0.16,126.91,126.92,126.6,9523,N.A.
17:00 - 18:00,126.13,-0.62,126.75,126.79,126.08,10362,N.A.
18:00 - 19:00,126.12,-0.01,126.13,126.26,125.82,11470,N.A.
19:00 - 20:00,126.56,0.44,126.12,126.91,126.02,11377,N.A.
20:00 - 21:00,126.72,0.16,126.56,126.73,126.26,11586,N.A.
21:00 - 22:00,126.62,-0.1,126.72,126.9,126.46,11619,N.A.
22:00 - 23:00,126.92,0.3,126.62,127.05,126.52,11996,N.A.
23:00 - 00:00,126.77,-0.15,126.92,126.97,126.73,11500,N.A.
07JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,126.91,0.14,126.77,127.09,126.64,10644,N.A.
01:00 - 02:00,126.42,-0.49,126.91,126.94,126.41,9824,N.A.
02:00 - 03:00,126.97,0.55,126.42,127.15,126.32,6250,N.A.
03:00 - 04:00,126.66,-0.31,126.98,127.36,126.6,6764,N.A.
04:00 - 05:00,126.67,0.01,126.65,126.81,126.39,7179,N.A.
05:00 - 06:00,127.04,0.37,126.67,127.07,126.56,7079,N.A.
06:00 - 07:00,126.94,-0.1,127.04,127.18,126.87,7674,N.A.
07:00 - 08:00,126.72,-0.22,126.94,127.02,126.67,6771,N.A.
08:00 - 09:00,127.45,0.73,126.72,127.64,126.25,5806,N.A.
09:00 - 10:00,127.01,-0.44,127.45,127.45,126.96,6883,N.A.
10:00 - 11:00,126.67,-0.34,127.01,127.06,126.26,7642,N.A.
11:00 - 12:00,127.14,0.47,126.68,127.26,126.58,7298,N.A.
12:00 - 13:00,126.56,-0.58,127.14,127.15,126.53,8802,N.A.
13:00 - 14:00,126.56,0,126.56,127.01,126.54,8018,N.A.
14:00 - 15:00,126.24,-0.32,126.56,126.61,126.21,8265,N.A.
15:00 - 16:00,126.28,0.04,126.24,126.37,125.66,8783,N.A.
16:00 - 17:00,126.42,0.14,126.28,126.58,126.17,7981,N.A.
17:00 - 18:00,126.44,0.02,126.43,126.51,126.35,8956,N.A.
18:00 - 19:00,126.27,-0.17,126.44,126.49,126.09,9839,N.A.
19:00 - 20:00,125.89,-0.38,126.27,126.42,125.82,9845,N.A.
20:00 - 21:00,126.14,0.25,125.89,126.39,125.88,10282,N.A.
21:00 - 22:00,126.04,-0.1,126.14,126.16,125.88,10520,N.A.
22:00 - 23:00,126.08,0.04,126.03,126.14,125.95,10062,N.A.
23:00 - 00:00,126.14,0.06,126.08,126.2,125.88,11079,N.A.
08JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,125.89,-0.25,126.14,126.18,125.89,11024,N.A.
01:00 - 02:00,125.51,-0.38,125.89,125.98,125.36,9754,N.A.
02:00 - 03:00,124.61,-0.9,125.51,125.65,124.25,6575,N.A.
03:00 - 04:00,124.49,-0.12,124.61,124.67,124.11,6663,N.A.
04:00 - 05:00,124.94,0.45,124.49,125.14,124.47,7791,N.A.
05:00 - 06:00,124.48,-0.46,124.94,124.94,124.27,7549,N.A.
