Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,1.4746,-0.031,1.5056,1.5242,1.4727,34285045,N.A.
30NOV2015_00:00:00.000,,,,,,,
17:00 - 18:00,1.5064,0.0008,1.5056,1.5065,1.5056,36020,N.A.
18:00 - 19:00,1.5055,-0.0009,1.5064,1.5064,1.5055,52117,N.A.
19:00 - 20:00,1.5068,0.0013,1.5055,1.5071,1.5052,46932,N.A.
20:00 - 21:00,1.508,0.0012,1.5068,1.5088,1.506,60837,N.A.
21:00 - 22:00,1.5093,0.0013,1.508,1.5099,1.508,63511,N.A.
22:00 - 23:00,1.5082,-0.0011,1.5093,1.5094,1.5082,47899,N.A.
23:00 - 00:00,1.5082,0,1.5082,1.5092,1.5078,45695,N.A.
01DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.51,0.0018,1.5082,1.5103,1.5082,52525,N.A.
01:00 - 02:00,1.5093,-0.0007,1.51,1.5103,1.5088,58753,N.A.
02:00 - 03:00,1.51,0.0007,1.5093,1.511,1.5091,66027,N.A.
03:00 - 04:00,1.5121,0.0021,1.51,1.5124,1.5092,95821,N.A.
04:00 - 05:00,1.5085,-0.0036,1.5121,1.5126,1.5079,96066,N.A.
05:00 - 06:00,1.5093,0.0008,1.5085,1.5095,1.5083,67921,N.A.
06:00 - 07:00,1.5078,-0.0015,1.5093,1.5095,1.5074,58901,N.A.
07:00 - 08:00,1.5067,-0.0011,1.5078,1.5079,1.5067,60769,N.A.
08:00 - 09:00,1.5066,-0.0001,1.5067,1.5076,1.506,89151,N.A.
09:00 - 10:00,1.5076,0.001,1.5066,1.5082,1.5065,86084,N.A.
10:00 - 11:00,1.5054,-0.0022,1.5076,1.5095,1.5051,92702,N.A.
11:00 - 12:00,1.5073,0.0019,1.5054,1.5076,1.5052,78378,N.A.
12:00 - 13:00,1.5074,0.0001,1.5073,1.5079,1.5064,58905,N.A.
13:00 - 14:00,1.5085,0.0011,1.5074,1.5085,1.5071,50507,N.A.
14:00 - 15:00,1.5081,-0.0004,1.5085,1.5087,1.5078,48299,N.A.
15:00 - 16:00,1.5081,0,1.5081,1.5087,1.5079,40378,N.A.
16:00 - 17:00,1.5082,0.0001,1.5081,1.5083,1.5077,40486,N.A.
17:00 - 18:00,1.5076,-0.0006,1.5082,1.5082,1.5076,29152,N.A.
18:00 - 19:00,1.5077,0.0001,1.5076,1.508,1.5073,45048,N.A.
19:00 - 20:00,1.5071,-0.0006,1.5077,1.5078,1.5068,49454,N.A.
20:00 - 21:00,1.5073,0.0002,1.5071,1.5076,1.5069,46634,N.A.
21:00 - 22:00,1.5071,-0.0002,1.5073,1.5073,1.5067,39208,N.A.
22:00 - 23:00,1.5068,-0.0003,1.5071,1.5071,1.5068,36326,N.A.
23:00 - 00:00,1.5064,-0.0004,1.5068,1.5069,1.5062,32486,N.A.
02DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5063,-0.0001,1.5064,1.5066,1.5062,36216,N.A.
01:00 - 02:00,1.5066,0.0003,1.5063,1.5067,1.5062,35701,N.A.
02:00 - 03:00,1.5073,0.0007,1.5066,1.5076,1.5064,58788,N.A.
03:00 - 04:00,1.507,-0.0003,1.5073,1.5081,1.5057,79467,N.A.
04:00 - 05:00,1.5039,-0.0031,1.507,1.5072,1.5034,79276,N.A.
05:00 - 06:00,1.5044,0.0005,1.5039,1.5059,1.5037,86983,N.A.
06:00 - 07:00,1.5033,-0.0011,1.5044,1.5046,1.503,54262,N.A.
07:00 - 08:00,1.5026,-0.0007,1.5033,1.504,1.5024,58707,N.A.
08:00 - 09:00,1.4995,-0.0031,1.5026,1.5036,1.4994,103275,N.A.
09:00 - 10:00,1.4969,-0.0026,1.4995,1.5011,1.4965,93847,N.A.
10:00 - 11:00,1.4941,-0.0028,1.4969,1.4975,1.494,122329,N.A.
11:00 - 12:00,1.4926,-0.0015,1.4941,1.4947,1.4918,89159,N.A.
12:00 - 13:00,1.4932,0.0006,1.4926,1.4936,1.4895,116935,N.A.
13:00 - 14:00,1.4951,0.0019,1.4932,1.4952,1.4927,74308,N.A.
14:00 - 15:00,1.494,-0.0011,1.4951,1.4955,1.4933,65941,N.A.
15:00 - 16:00,1.4944,0.0004,1.494,1.4957,1.494,63140,N.A.
16:00 - 17:00,1.4951,0.0007,1.4944,1.4952,1.494,40418,N.A.
17:00 - 18:00,1.4943,-0.0008,1.4952,1.4954,1.4941,48371,N.A.
18:00 - 19:00,1.4947,0.0004,1.4943,1.4949,1.4943,44852,N.A.
19:00 - 20:00,1.4941,-0.0006,1.4947,1.4948,1.4938,41395,N.A.
20:00 - 21:00,1.4935,-0.0006,1.4941,1.4945,1.4933,45743,N.A.
21:00 - 22:00,1.4928,-0.0007,1.4935,1.4935,1.4922,43474,N.A.
22:00 - 23:00,1.4927,-0.0001,1.4928,1.4933,1.4926,43550,N.A.
23:00 - 00:00,1.4929,0.0002,1.4927,1.4936,1.4924,42881,N.A.
03DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.4922,-0.0007,1.4929,1.4931,1.4922,38350,N.A.
01:00 - 02:00,1.4934,0.0012,1.4922,1.4935,1.4922,44974,N.A.
02:00 - 03:00,1.4935,0.0001,1.4934,1.4941,1.4923,65441,N.A.
03:00 - 04:00,1.4924,-0.0011,1.4935,1.495,1.492,88498,N.A.
04:00 - 05:00,1.4934,0.001,1.4924,1.4943,1.4905,98522,N.A.
05:00 - 06:00,1.4941,0.0007,1.4934,1.4947,1.4928,60517,N.A.
06:00 - 07:00,1.4933,-0.0008,1.4941,1.4944,1.4921,68640,N.A.
07:00 - 08:00,1.497,0.0037,1.4933,1.4971,1.4928,137058,N.A.
08:00 - 09:00,1.5044,0.0074,1.497,1.5069,1.4948,228573,N.A.
09:00 - 10:00,1.505,0.0006,1.5044,1.5053,1.5023,178381,N.A.
10:00 - 11:00,1.5036,-0.0014,1.505,1.5063,1.5031,139966,N.A.
11:00 - 12:00,1.5087,0.0051,1.5036,1.5122,1.5036,160051,N.A.
12:00 - 13:00,1.5101,0.0014,1.5087,1.511,1.5084,118693,N.A.
13:00 - 14:00,1.5117,0.0016,1.5101,1.5127,1.5099,80378,N.A.
14:00 - 15:00,1.5154,0.0037,1.5117,1.5156,1.5108,80719,N.A.
15:00 - 16:00,1.5153,-0.0001,1.5154,1.5155,1.5137,95271,N.A.
16:00 - 17:00,1.5144,-0.0009,1.5153,1.5159,1.5144,58811,N.A.
17:00 - 18:00,1.5139,-0.0005,1.5144,1.5146,1.5135,35433,N.A.
