Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,903.25,-564.72,1467.97,1471.77,741.02,406381,N.A.
02JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1459.91,-8.06,1467.97,1471.77,1457.25,239,N.A.
10:30 - 11:30,1453.48,-6.43,1459.76,1460.1,1451.71,240,N.A.
11:30 - 12:30,1446.43,-7.05,1453.39,1453.39,1445.66,240,N.A.
12:30 - 13:30,1446.24,-0.19,1446.26,1448.92,1443.97,240,N.A.
13:30 - 14:30,1453.5,7.26,1446.12,1457.56,1445.41,240,N.A.
14:30 - 15:30,1444.37,-9.13,1453.73,1454.86,1442.07,240,N.A.
15:30 - 16:30,1447.16,2.79,1444,1448.76,1444,180,N.A.
03JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1451.21,4.05,1447.55,1455.74,1447.37,240,N.A.
10:30 - 11:30,1452.16,0.95,1452.06,1454.11,1448.31,239,N.A.
11:30 - 12:30,1455.89,3.73,1451.86,1456,1451.53,240,N.A.
12:30 - 13:30,1452,-3.89,1456.65,1456.8,1450.9,240,N.A.
13:30 - 14:30,1451.07,-0.93,1452.2,1452.84,1448.46,240,N.A.
14:30 - 15:30,1444.27,-6.8,1451.12,1451.72,1443.73,240,N.A.
15:30 - 16:30,1447.16,2.89,1444.51,1447.94,1443.89,180,N.A.
04JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1425.4,-21.76,1444.01,1444.01,1425.26,240,N.A.
10:30 - 11:30,1425.87,0.47,1425.6,1427.14,1419.36,240,N.A.
11:30 - 12:30,1423.57,-2.3,1425.75,1428.88,1422.79,240,N.A.
12:30 - 13:30,1421.68,-1.89,1423.57,1424.93,1420.08,240,N.A.
13:30 - 14:30,1415.44,-6.24,1421.55,1423.5,1415.39,240,N.A.
14:30 - 15:30,1418.48,3.04,1415.38,1419.3,1412,240,N.A.
15:30 - 16:30,1411.63,-6.85,1418.14,1419.72,1411.19,180,N.A.
07JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1406.2,-5.43,1414.07,1422.21,1406.2,239,N.A.
10:30 - 11:30,1414.44,8.24,1406.32,1414.57,1403.45,240,N.A.
11:30 - 12:30,1417.78,3.34,1413.97,1420.45,1412.67,240,N.A.
12:30 - 13:30,1420.74,2.96,1417.74,1423.87,1417.74,240,N.A.
13:30 - 14:30,1410.27,-10.47,1419.99,1421,1408.87,240,N.A.
14:30 - 15:30,1408.44,-1.83,1410.07,1415.87,1406.35,240,N.A.
15:30 - 16:30,1416.18,7.74,1408.78,1418.55,1404.46,180,N.A.
08JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1426.37,10.19,1415.71,1430.28,1415.71,240,N.A.
10:30 - 11:30,1418.11,-8.26,1426.38,1426.85,1417.56,240,N.A.
11:30 - 12:30,1415.92,-2.19,1418.16,1418.16,1410.7,239,N.A.
12:30 - 13:30,1419.84,3.92,1415.78,1420.45,1411.05,240,N.A.
13:30 - 14:30,1424.65,4.81,1419.67,1424.65,1415.22,240,N.A.
14:30 - 15:30,1399.94,-24.71,1424.79,1424.89,1395.58,240,N.A.
15:30 - 16:30,1390.19,-9.75,1400.1,1405.53,1388.3,180,N.A.
09JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1394,3.81,1390.25,1399.76,1388.74,240,N.A.
10:30 - 11:30,1392.91,-1.09,1394.53,1397.91,1392.14,240,N.A.
11:30 - 12:30,1394.44,1.53,1393.14,1394.65,1385.07,240,N.A.
12:30 - 13:30,1387.37,-7.07,1394.37,1394.37,1386.42,240,N.A.
13:30 - 14:30,1384.01,-3.36,1387.57,1387.87,1378.7,240,N.A.
14:30 - 15:30,1398.25,14.24,1384.39,1404.31,1383.71,240,N.A.
15:30 - 16:30,1409.13,10.88,1398.71,1409.19,1394.96,180,N.A.
10JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1403.74,-5.39,1406.78,1406.8,1395.31,240,N.A.
10:30 - 11:30,1402.27,-1.47,1403.61,1408.83,1399.88,240,N.A.
11:30 - 12:30,1414.27,12,1403.2,1421.93,1398.26,240,N.A.
12:30 - 13:30,1413.6,-0.67,1414.12,1417.06,1406.96,240,N.A.
13:30 - 14:30,1412.52,-1.08,1412.89,1416.38,1401.74,240,N.A.
14:30 - 15:30,1426.85,14.33,1412.93,1428.86,1412.93,240,N.A.
15:30 - 16:30,1420.33,-6.52,1427.47,1429.09,1418.86,180,N.A.
11JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1405.51,-14.82,1419.91,1419.91,1403.61,240,N.A.
10:30 - 11:30,1411.33,5.82,1406.23,1414.53,1404.2,240,N.A.
11:30 - 12:30,1409.57,-1.76,1411.99,1416.73,1406.99,240,N.A.
12:30 - 13:30,1406.83,-2.74,1409.56,1414.05,1402.62,240,N.A.
13:30 - 14:30,1405.58,-1.25,1407.06,1408.03,1401.16,239,N.A.
14:30 - 15:30,1401.26,-4.32,1406.05,1406.67,1394.83,240,N.A.
15:30 - 16:30,1401.02,-0.24,1401.33,1405.89,1398.84,179,N.A.
14JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1409.64,8.62,1402.91,1413.78,1402.91,240,N.A.
10:30 - 11:30,1411.93,2.29,1409.72,1414.29,1408.91,240,N.A.
11:30 - 12:30,1407.68,-4.25,1411.3,1411.33,1406.97,240,N.A.
12:30 - 13:30,1408.66,0.98,1407.02,1410.58,1406.51,240,N.A.
13:30 - 14:30,1411.76,3.1,1408.65,1413.78,1408.31,240,N.A.
14:30 - 15:30,1413,1.24,1411.72,1417.06,1411.72,240,N.A.
15:30 - 16:30,1416.25,3.25,1414.08,1417.89,1413,180,N.A.
15JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1391.88,-24.37,1411.88,1411.88,1390.61,240,N.A.
10:30 - 11:30,1387.97,-3.91,1391.54,1393.64,1385.21,240,N.A.
11:30 - 12:30,1389.41,1.44,1387.82,1390.34,1384.44,239,N.A.
12:30 - 13:30,1387.47,-1.94,1389.42,1391.78,1385.25,240,N.A.
13:30 - 14:30,1386.61,-0.86,1387.39,1389.28,1384.08,240,N.A.
14:30 - 15:30,1388.16,1.55,1385.97,1388.96,1381.03,240,N.A.
15:30 - 16:30,1380.95,-7.21,1387.87,1392.5,1380.6,180,N.A.
16JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1373.13,-7.82,1377.41,1385.26,1370.75,240,N.A.
10:30 - 11:30,1374.72,1.59,1372.56,1375.19,1364.27,240,N.A.
11:30 - 12:30,1378.6,3.88,1374.79,1382.98,1369.18,240,N.A.
12:30 - 13:30,1375.03,-3.57,1378.61,1383.94,1374.43,240,N.A.
13:30 - 14:30,1385.28,10.25,1374.71,1385.28,1373.07,240,N.A.
14:30 - 15:30,1386.57,1.29,1386.15,1391.99,1381.85,240,N.A.
15:30 - 16:30,1373.2,-13.37,1387.28,1388.7,1372.44,180,N.A.
17JAN2008_00:00:00.000,,,,,,,
09:30 - 10:30,1361.38,-11.82,1374.79,1377.72,1358.55,240,N.A.
10:30 - 11:30,1357.62,-3.76,1361.19,1364.52,1354.55,240,N.A.
11:30 - 12:30,1350.78,-6.84,1357.7,1359.6,1346.02,240,N.A.
12:30 - 13:30,1354.5,3.72,1351.44,1356.76,1348.22,240,N.A.
13:30 - 14:30,1344.31,-10.19,1354.68,1358.15,1344.31,240,N.A.
