Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
Summary,120.22,0.74,119.48,125.86,115.86,392657449,N.A.
30DEC2014_00:00:00.000,,,,,,,
17:00 - 18:00,119.46,-0.02,119.48,119.53,119.38,47892,N.A.
18:00 - 19:00,119.47,0.01,119.46,119.51,119.39,42914,N.A.
19:00 - 20:00,119.54,0.07,119.47,119.54,119.41,42412,N.A.
20:00 - 21:00,119.28,-0.26,119.54,119.56,119.25,42726,N.A.
21:00 - 22:00,119.36,0.08,119.28,119.38,119.26,43008,N.A.
22:00 - 23:00,119.46,0.1,119.36,119.46,119.36,38397,N.A.
23:00 - 00:00,119.53,0.07,119.46,119.55,119.41,41099,N.A.
31DEC2014_00:00:00.000,,,,,,,
00:00 - 01:00,119.73,0.2,119.53,119.75,119.51,44721,N.A.
01:00 - 02:00,119.73,0,119.73,119.77,119.63,41950,N.A.
02:00 - 03:00,119.63,-0.1,119.73,119.79,119.6,49804,N.A.
03:00 - 04:00,119.59,-0.04,119.63,119.69,119.57,47565,N.A.
04:00 - 05:00,119.49,-0.1,119.59,119.61,119.48,47439,N.A.
05:00 - 06:00,119.43,-0.06,119.49,119.51,119.33,46956,N.A.
06:00 - 07:00,119.33,-0.1,119.43,119.48,119.31,46450,N.A.
07:00 - 08:00,119.5,0.17,119.33,119.53,119.3,48998,N.A.
08:00 - 09:00,119.62,0.12,119.5,119.64,119.49,54586,N.A.
09:00 - 10:00,119.51,-0.11,119.62,119.64,119.47,66911,N.A.
10:00 - 11:00,119.89,0.38,119.51,119.9,119.39,75006,N.A.
11:00 - 12:00,119.86,-0.03,119.89,119.94,119.75,60117,N.A.
12:00 - 13:00,119.84,-0.02,119.86,119.89,119.75,56419,N.A.
13:00 - 14:00,119.9,0.06,119.84,119.9,119.79,42711,N.A.
14:00 - 15:00,119.86,-0.04,119.9,119.94,119.84,41423,N.A.
15:00 - 16:00,119.76,-0.1,119.86,119.88,119.76,45317,N.A.
16:00 - 17:00,119.78,0.02,119.76,119.84,119.66,42215,N.A.
17:00 - 18:00,119.78,0,119.78,119.79,119.65,181,N.A.
01JAN2015_00:00:00.000,,,,,,,
12:00 - 13:00,119.78,0,119.73,119.81,119.66,174,N.A.
13:00 - 14:00,119.76,-0.02,119.78,119.93,119.67,4394,N.A.
14:00 - 15:00,119.79,0.03,119.76,119.79,119.76,3772,N.A.
15:00 - 16:00,119.82,0.03,119.79,119.85,119.79,5665,N.A.
16:00 - 17:00,119.74,-0.08,119.82,119.82,119.71,3534,N.A.
17:00 - 18:00,119.84,0.1,119.74,119.84,119.72,21925,N.A.
18:00 - 19:00,119.89,0.05,119.84,119.97,119.81,55175,N.A.
19:00 - 20:00,120.08,0.19,119.89,120.08,119.84,45798,N.A.
20:00 - 21:00,120.27,0.19,120.08,120.43,120.05,63682,N.A.
21:00 - 22:00,120.36,0.09,120.27,120.43,120.26,49879,N.A.
22:00 - 23:00,120.32,-0.04,120.36,120.38,120.28,39587,N.A.
23:00 - 00:00,120.44,0.12,120.32,120.48,120.32,41109,N.A.
02JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,120.43,-0.01,120.44,120.47,120.41,37253,N.A.
01:00 - 02:00,120.4,-0.03,120.43,120.45,120.34,38527,N.A.
02:00 - 03:00,120.44,0.04,120.4,120.51,120.39,55975,N.A.
03:00 - 04:00,120.35,-0.09,120.44,120.49,120.35,67437,N.A.
04:00 - 05:00,120.41,0.06,120.35,120.43,120.32,67454,N.A.
05:00 - 06:00,120.44,0.03,120.41,120.48,120.38,48501,N.A.
06:00 - 07:00,120.49,0.05,120.44,120.5,120.44,49086,N.A.
07:00 - 08:00,120.63,0.14,120.49,120.66,120.48,50720,N.A.
08:00 - 09:00,120.61,-0.02,120.63,120.66,120.56,57138,N.A.
09:00 - 10:00,120.61,0,120.61,120.74,120.58,66946,N.A.
10:00 - 11:00,120.2,-0.41,120.61,120.64,120.01,96338,N.A.
11:00 - 12:00,120.21,0.01,120.2,120.24,119.81,96049,N.A.
12:00 - 13:00,120.23,0.02,120.21,120.39,120.15,59667,N.A.
13:00 - 14:00,120.31,0.08,120.23,120.33,120.21,49365,N.A.
14:00 - 15:00,120.34,0.03,120.31,120.39,120.3,50163,N.A.
15:00 - 16:00,120.47,0.13,120.34,120.49,120.31,50697,N.A.
16:00 - 17:00,120.5,0.03,120.47,120.54,120.46,43807,N.A.
04JAN2015_00:00:00.000,,,,,,,
13:00 - 14:00,120.47,-0.03,120.41,120.56,120.36,1905,N.A.
14:00 - 15:00,120.33,-0.14,120.47,120.47,120.33,3329,N.A.
15:00 - 16:00,120.37,0.04,120.34,120.38,120.32,5358,N.A.
16:00 - 17:00,120.5,0.13,120.37,120.51,120.36,9738,N.A.
17:00 - 18:00,120.54,0.04,120.5,120.63,120.35,67752,N.A.
18:00 - 19:00,120.41,-0.13,120.54,120.58,120.38,67762,N.A.
19:00 - 20:00,120.26,-0.15,120.41,120.42,119.98,86045,N.A.
20:00 - 21:00,120.4,0.14,120.26,120.43,120.13,80001,N.A.
21:00 - 22:00,120.33,-0.07,120.4,120.4,120.24,59218,N.A.
22:00 - 23:00,120.59,0.26,120.33,120.6,120.31,65666,N.A.
23:00 - 00:00,120.55,-0.04,120.59,120.65,120.5,51415,N.A.
05JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,120.41,-0.14,120.56,120.61,120.36,55237,N.A.
01:00 - 02:00,120.39,-0.02,120.41,120.51,120.36,55308,N.A.
02:00 - 03:00,120.37,-0.02,120.39,120.48,120.31,63582,N.A.
03:00 - 04:00,120.36,-0.01,120.37,120.43,120.26,75024,N.A.
04:00 - 05:00,120.21,-0.15,120.36,120.39,120.13,72177,N.A.
05:00 - 06:00,120.36,0.15,120.21,120.38,120.17,65608,N.A.
06:00 - 07:00,120.27,-0.09,120.36,120.43,120.24,62330,N.A.
07:00 - 08:00,120.16,-0.11,120.27,120.29,120.05,69078,N.A.
08:00 - 09:00,119.82,-0.34,120.16,120.18,119.76,91601,N.A.
09:00 - 10:00,119.48,-0.34,119.82,119.84,119.46,126604,N.A.
10:00 - 11:00,119.6,0.12,119.48,119.67,119.38,130621,N.A.
11:00 - 12:00,119.65,0.05,119.59,119.78,119.44,88226,N.A.
12:00 - 13:00,119.61,-0.04,119.65,119.79,119.56,65392,N.A.
13:00 - 14:00,119.69,0.08,119.61,119.79,119.58,58808,N.A.
14:00 - 15:00,119.53,-0.16,119.69,119.7,119.5,60550,N.A.
15:00 - 16:00,119.66,0.13,119.53,119.68,119.5,62344,N.A.
16:00 - 17:00,119.64,-0.02,119.66,119.66,119.57,41483,N.A.
17:00 - 18:00,119.29,-0.35,119.64,119.64,119.27,58226,N.A.
18:00 - 19:00,119.42,0.13,119.29,119.49,119.29,54977,N.A.
19:00 - 20:00,119.17,-0.25,119.42,119.51,119.16,71692,N.A.
20:00 - 21:00,119.44,0.27,119.17,119.45,119.16,64396,N.A.
21:00 - 22:00,119.34,-0.1,119.44,119.44,119.17,68396,N.A.
22:00 - 23:00,119.29,-0.05,119.34,119.39,119.25,55633,N.A.
23:00 - 00:00,119.24,-0.05,119.29,119.29,119.09,57255,N.A.
06JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.96,-0.28,119.24,119.24,118.89,75391,N.A.
01:00 - 02:00,118.8,-0.16,118.96,119.04,118.66,73025,N.A.
02:00 - 03:00,119.17,0.37,118.8,119.17,118.79,85278,N.A.
03:00 - 04:00,118.88,-0.29,119.17,119.24,118.76,94849,N.A.
04:00 - 05:00,118.83,-0.05,118.88,119.01,118.72,94531,N.A.
05:00 - 06:00,118.97,0.14,118.83,118.98,118.75,84177,N.A.
06:00 - 07:00,119.32,0.35,118.97,119.34,118.96,74375,N.A.
07:00 - 08:00,119.05,-0.27,119.32,119.39,119.04,82062,N.A.
08:00 - 09:00,119,-0.05,119.05,119.13,118.9,84066,N.A.
09:00 - 10:00,118.81,-0.19,119,119.2,118.81,111415,N.A.
10:00 - 11:00,118.71,-0.1,118.81,119.07,118.61,143087,N.A.
11:00 - 12:00,118.23,-0.48,118.71,118.81,118.2,187538,N.A.
12:00 - 13:00,118.47,0.24,118.23,118.49,118.06,161186,N.A.
13:00 - 14:00,118.37,-0.1,118.47,118.47,118.09,123173,N.A.
14:00 - 15:00,118.62,0.25,118.37,118.65,118.25,86139,N.A.
15:00 - 16:00,118.51,-0.11,118.62,118.81,118.5,114247,N.A.
16:00 - 17:00,118.39,-0.12,118.51,118.62,118.37,54386,N.A.
17:00 - 18:00,118.57,0.18,118.39,118.68,118.39,69829,N.A.
18:00 - 19:00,118.66,0.09,118.57,118.7,118.51,56209,N.A.
19:00 - 20:00,118.74,0.08,118.66,118.86,118.65,69720,N.A.
20:00 - 21:00,119.01,0.27,118.74,119.01,118.74,65294,N.A.
21:00 - 22:00,119.07,0.06,119.01,119.17,119.01,54334,N.A.
22:00 - 23:00,119.02,-0.05,119.07,119.11,118.89,50724,N.A.
23:00 - 00:00,119.05,0.03,119.02,119.1,118.98,50558,N.A.
07JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.88,-0.17,119.05,119.07,118.81,54906,N.A.
01:00 - 02:00,119.04,0.16,118.88,119.1,118.8,55864,N.A.
